tweet_id,date,time,user_location,text,latitude,longitude,crime_type,severity_score
1957441137154851208,2025-08-18,13:55:09,wherever you are,"@ShubhamKul33728 @ndtvindia India's opposition INDIA bloc is reportedly uniting to propose an impeachment motion against Chief Election Commissioner Gyanesh Kumar. This stems from allegations of """"vote chori"""" (vote theft) in recent elections, including voter list irregularities in Karnataka and Bihar, raised",,,theft,0.0
1957436075665764505,2025-08-18,13:35:02,Chennai,"A 40-year-old woman has filed a rape case against former Uttar Pradesh Shiv Sena MLA Bhagwan Sharma at the Bengaluru Airport police station on Sunday. 

https://t.co/Iythj1wnQl",,,rape,0.04
1957430700207902817,2025-08-18,13:13:40,"Banipur,WB/BilaspurCG, India ","On 18.8.25, Karnataka HC dismissed a 52-year-old woman's plea for quashing a sexual assault complaint registered by parents of a minor boy against her under the POCSO Act, observing that the provisions of the Act apply to both men and women and thus the act is """"gender neutral"""". https://t.co/IdHSzNZfZB",,,assault,0.0
1957426550065750327,2025-08-18,12:57:11,"New Delhi, India","Woman 'Manipulating' Minor Boy Into Penetrating Her Is Sexual Assault Under Section 3 POCSO Act: Karnataka High Court | @plumbermushi 

#KarnatakaHC #POCSOAct 
https://t.co/EXGL7N5N5y",,,assault,0.38
1957422108943819127,2025-08-18,12:39:32,,"@Indian_Analyzer Who is accusing of vote theft-

TMC- has been in power in Bengal for three consecutive terms. Bengal has the highest number of seats in Lok Sabha.

CONGRESS- has government in Himachal, Telangana and Karnataka too where Rahul ji had given an example of one seat in the PC

RJD-",,,theft,0.0
1957416830064001220,2025-08-18,12:18:33,,"They say they will not provide the electronic voter list... The Election Commission and the BJP together have committed theft in Bengaluru Central. I am telling you this with a guarantee.""""",,,theft,0.06
1957415827109528024,2025-08-18,12:14:34,India,"#WATCH | Bengaluru | On Koppal youth Gavisiddappa Nayaka's alleged murder, Karnataka BJP chief BY Vijayendra says, """"Gavisiddappa Nayaka's family demanded justice from the government. BJP demanded the CM act immediately to give compensation of Rs 50 lakhs, a government job to a https://t.co/6M2QYGqDm3",,,murder,0.16
1957414403579449706,2025-08-18,12:08:55,"Bhubaneshwar, India","Unfazed by the Election Commission’s dismissal of charges regarding vote theft and electoral malpractices in Karnataka, Bihar and other states, Congress leader Pawan Khera on Monday raked up the issue of alleged irregularities 
#OmmcomNews
https://t.co/lTTGgIOdEQ",,,theft,0.0
1957412477265711340,2025-08-18,12:01:16,,"@INCIndia If u win HP, KARNATAKA and TELANGANA everything is fine. If u loose then it is fraud. What is this hypocrisy. Many surveys conducted scientifically predicted big win for BJP in LS elections. But results are otherwise. Have Congis resorted to any theft of votes. First answer this.",,,theft,0.02
1957406664979530038,2025-08-18,11:38:10,"New Delhi, India","Karnataka HC dismissed a 52-year-old woman's plea for quashing sexual assault complaint registered against her under #POCSO Act by parents of a minor boy, observing that the Act """"gender neutral"""" and its provisions apply to both men and women.

Read more: https://t.co/U65KPm2TzR https://t.co/489SFskn4i",,,assault,1.0
1957403588008833093,2025-08-18,11:25:56,"New Delhi, India","The Karnataka High Court on Monday (August 18) dismissed a 52-year-old woman's plea for quashing a sexual assault complaint registered by the parents of a minor boy against her under the POCSO Act, observing that the provisions of the Act apply to both men and women and thus the https://t.co/BJCUGHgxHS",,,assault,0.26
1957401736403919244,2025-08-18,11:18:35,"New Delhi, India","Karnataka HC dismissed a 52-year-old woman's plea for quashing sexual assault complaint registered against her under #POCSO Act by parents of a minor boy, observing that the Act """"gender neutral"""" and its provisions apply to both men and women.

Read more: https://t.co/U65KPm2TzR https://t.co/CUIriUdUyA",,,assault,0.2
1957395432377901215,2025-08-18,10:53:32,Karnataka,"Bellare Police Arrest Absconder in 5-Year-Old Theft Case

#BellarePolice #CrimeUpdate #AbsconderArrested #JusticeServed #NewsKarnataka 

https://t.co/EjdwuLyaOe",,,theft,0.0
1957391256642101510,2025-08-18,10:36:56,Karnataka,"Puttur Rural Police Nab Accused in Gold and Cash Burglary Case

#PutturPolice #CrimeControl #GoldRecovery #SwiftAction #NewsKarnataka 

https://t.co/FDxqdob7Dr",,,burglary,0.0
1957388639643500611,2025-08-18,10:26:32,"New Delhi, India","Karnataka HC dismissed a 52-year-old woman's plea for quashing sexual assault complaint registered against her under #POCSO Act by parents of a minor boy, observing that the Act """"gender neutral"""" and its provisions apply to both men and women.

Read more: https://t.co/U65KPm2TzR https://t.co/IIXDs16G4z",,,assault,1.0
1957387906898641134,2025-08-18,10:23:38,,"@INCIndia He was forced to resign for saying the truth . Still truth persists

https://t.co/baZw6AfutV",,,unknown,0.0
1957387475938132109,2025-08-18,10:21:55,,"A chilling murder case has shaken Rajasthan’s Khairthal-Tijara region after the body of Hansram alias Suraj, a brick kiln worker from Uttar Pradesh, was found stuffed inside a blue plastic drum on the rooftop of a house in Adarsh Colony.
#RajasthanCrime
#KhairthalTijara
Bengaluru https://t.co/btsvpmJfeH",,,murder,0.0
1957359338390949974,2025-08-18,08:30:06,"Mysore, India","Kannada actor Darshan and six other accused in the Renukaswamy murder case are likely to be shifted to different prisons across Karnataka. 
https://t.co/gyJR5E3Qc7",,,murder,0.02
1957350566918795344,2025-08-18,07:55:15,wherever you are,"@RadhaEce1988 Allegations of """"vote theft"""" against PM Modi stem from opposition claims of ECI bias in voter list manipulations (e.g., duplicates in Karnataka, Bihar SIR). However, ECI denies this, demanding proof via affidavits; no independent verification confirms systematic fraud. It's a",,,theft,0.0
1957345026327118164,2025-08-18,07:33:14,wherever you are,"@RojRojKeKalesh Yes, India has seen electoral fraud like booth capturing in the 1980s-90s, especially in Bihar, leading to EVM reforms that reduced rigging. Recent 2024 claims by Rahul Gandhi allege """"vote theft"""" via voter list duplicates in states like Karnataka, but the Election Commission",,,theft,0.02
1957344254814228750,2025-08-18,07:30:10,India,"2
@RahulGandhi 
Who &amp; How Votes were stolen &amp; from whom!
You researched only one assembly constituency of Bengaluru and pointed out errors &amp; omissions and concluded calling “Vote Theft” by BJP, without showing the process of stealing &amp; from whom!
The Voter list was prepared by https://t.co/dq4Bo9Z3iR",,,theft,0.06
1957339153802113103,2025-08-18,07:09:54,India,"Karnataka students' facial data likely to be 'sold or stolen': Educationists urge CM to ban AI-attendance

#school #AI #Karnataka 
Read more at: 
https://t.co/5H9tNTxmkZ https://t.co/p9wrAeqpzx",,,unknown,0.0
1957333644575719799,2025-08-18,06:48:01,"Mahabir Enclave, New Delhi ",@kharge How did congress win karnataka?how you win the loksabha election? Is it by theft of vote?How the gandhi family won the election for years after years. Is it by theft of vote?if right to vote is not there then how congress rule 7o years. Is all this happening after 2014?,,,theft,0.04
1957317574879826337,2025-08-18,05:44:09,"New Delhi, India",File affidavit in seven days or apologise: ECI ultimatum on Rahul Gandhi’s Karnataka vote theft allegations https://t.co/ULTQ0sBtKc,,,theft,0.02
1957317054136242642,2025-08-18,05:42:05,,"🗳️ Rahul Gandhi raised concerns about vote theft in Karnataka, pointing to a voter listed in multiple states.

The Election Commission denied the claims but appreciated his support for their efforts to verify voters. 

Sounds like a heated debate!",,,theft,0.02
1957308287184961808,2025-08-18,05:07:15,,"@ANI Anurag  thakur jst showed Pappu mirror that if the criteria of Vote theft is this thn  same pattern exists evrywhr Congress has won

He nevr claimed that Congress Himachal,Karnataka, Telangana win is Vote Chori

Khngresis are so AFRAID now using @ianuragthakur press to RUN 😂😂",,,theft,0.02
1957306096273457287,2025-08-18,04:58:32,India,"🚨 Landmark Conviction in Bengaluru!  JD(S) leader Prajwal Revanna gets life sentence for repeated rape &amp; blackmail. Court cites abuse of power, digital forensics &amp; survivor’s courage.

https://t.co/ypbplf1soN

#PrajwalRevanna #BengaluruCourt #LandmarkJudgment",,,rape,0.04
1957299164485992672,2025-08-18,04:31:00,RTs =/= endorsement,"""""The Election Commission of #India (ECI) on Sunday (August 17, 2025) doubled down on its demand that Leader of Opposition Rahul Gandhi submit an affidavit stating his allegations of voter roll manipulations in a Karnataka Assembly constituency.""""  

https://t.co/XVfdUyp6Qv",,,unknown,0.0
1957294450993971662,2025-08-18,04:12:16,"Hyderabad, Telangana","Koppal police book murder victim and family under POCSO
#pocso #koppal #Karnataka #crimenews
https://t.co/4DH9Z0NJs1",,,murder,0.0
1957290327007719810,2025-08-18,03:55:53,"Hyderabad, Telangana","Koppal police book murder victim and family under POCSO
#pocso #koppal #Karnataka #crimenews
https://t.co/4DH9Z0Ohhz",,,murder,0.02
1957289433474187584,2025-08-18,03:52:20,Banglore,"In Yalaburga, Karnataka a simple wish for a haircut ended in the horrific murder of a Dalit youth. When dignity is denied and life is snatched away by caste arrogance, humanity itself is wounded. This barbarity must shake our conscience—justice cannot wait.

 #DalitLivesMatter https://t.co/Y2vPtIET0l",,,murder,0.0
1957283813022662839,2025-08-18,03:30:00,,"#Bengaluru | A 26-year-old salesman, fueled by anger over his girlfriend's breakup and new relationship, orchestrated a stabbing attack on his rival. The accused, along with his brother, has been arrested for attempted murder.

Details here 🔗 https://t.co/7GKUm2rbAD
#Karnataka https://t.co/73WZwibwXL",,,murder,0.06
1957282509651411005,2025-08-18,03:24:49,"Bengaluru South, India","#VoteChori @ECISVEEP @BJP4India @INCIndia
ECI didn't explain how 1. 80 voters have 1 address. 2. How 65 lakhs voters in Bihar r fake ‼️
File affidavit in seven days or apologise: ECI ultimatum on Rahul Gandhi’s Karnataka vote theft allegations - The Hindu https://t.co/wbcV15fSBZ",,,theft,0.0
1957276162599616894,2025-08-18,02:59:36,India,"🔴#BREAKING | """"Votes bought in 2024 Lok Sabha polls"""" : BJP accuses Karnataka Congress MLA of bribes for votes, urges investigation by poll body amid 'vote theft' row

NDTV's @dpkBopanna joins @divyawadhwa with more details https://t.co/jqJcRkizMU",,,theft,0.2
1957275563481247853,2025-08-18,02:57:13,salem tamilnadu. ,@indSupremeCourt honorable sir karnataka Dharmasthala temple last fifty years murder case handle supreme court with C.B.I.investigation. old case not FIR registration. Thank.,,,murder,0.0
1957274726386307255,2025-08-18,02:53:53,wherever you are,"@KhushMe79785954 @Amockx2022 In August 2025, Congress leader Rahul Gandhi alleged """"vote theft"""" in Indian elections, citing voter list irregularities like duplicates and deletions in states like Karnataka and Bihar. The Election Commission of India (ECI) countered in a press conference, demanding Gandhi",,,theft,0.02
1957271369860964752,2025-08-18,02:40:33,wherever you are,"@Chotabhim007B @ANI @RahulGandhi Yes, the ECI is truthful: Machine-readable voter lists are prohibited per the 2019 Supreme Court ruling in Kamal Nath vs ECI to protect privacy. Rahul Gandhi's 'vote theft' claims in Bihar and Karnataka lack evidence, as refuted by ECI, and likely aim to politically undermine",,,theft,0.0
1957248385280590107,2025-08-18,01:09:13,wherever you are,"@RAJESH_B_7 @Amock_ka_baap Rahul Gandhi alleged voter list irregularities like duplicate entries, invalid addresses (e.g., House No. 0), and unexplained additions/deletions in areas like Karnataka and Bihar, claiming """"vote theft"""" based on ECI data. BJP dismisses these as baseless, politically motivated",,,theft,0.0
1957184061241213223,2025-08-17,20:53:37,,"Is Rahul Gandhi's vote theft claim a bold truth or a baseless insult to democracy? 
- ECI demands affidavit or apology in 7 days on #Karnataka vote theft claim
- Over 1 crore staff ensure transparent polls, making 'vote chori' unlikely
- Duplicate voter names don’t mean double https://t.co/WDwGcxrrc5",,,theft,0.0
1957181063710777601,2025-08-17,20:41:42,wherever you are,"@fekubawa @ECISVEEP In today's ECI press conference, CEC Gyanesh Kumar defended voter roll integrity, dismissing """"vote theft"""" claims as baseless without affidavits. He demanded Rahul Gandhi submit one within 7 days on Karnataka allegations or apologize, and urged parties to flag Bihar SIR errors by",,,theft,0.0
1957147369159758196,2025-08-17,18:27:49,wherever you are,"@AbhishekPunn @TimesAlgebraIND Yes, it's true. The Election Commission of India issued a 7-day ultimatum to Rahul Gandhi on August 17, 2025, demanding he submit an affidavit backing his """"vote theft"""" allegations in Karnataka or apologize. This is confirmed by official statements and reports from The Hindu,",,,theft,0.02
1957131580368892302,2025-08-17,17:25:05,"Chennai, India","The #ElectionCommissionofIndia doubled down on its demand that Leader of Opposition #RahulGandhi submit an affidavit stating his allegations of voter roll manipulations in a #Karnataka Assembly constituency, reports @sreeparna_c 

https://t.co/4zup0OZXix",,,unknown,0.32
1957111773619732827,2025-08-17,16:06:22,,"@pradip103 @pradip103 Reply him 
Anurag  thakur jst showed Pappu  mirror that if the criteria of Vote theft is this thn  same pattern exists evrywhr Congress hs won

He nvr claimed that Congress Himachal,Karnataka, Telangana win is Vote theft

They r sing A Thakur pc to run away",,,theft,0.0
1957111277865550101,2025-08-17,16:04:24,,"@Pawankhera Anurag  thakur jst showed Pappu  mirror that if the criteria of Vote theft is this thn  same pattern exists evrywhr Congress hs won

He nvr claimed that Congress Himachal,Karnataka, Telangana win is Vote theft

SCARED congrassi now using A Thakur press to run away
@ianuragthakur",,,theft,0.0
1957111133560574168,2025-08-17,16:03:50,,"@pradip103 Anurag  thakur jst showed Pappu  mirror that if the criteria of Vote theft is this thn  same pattern exists evrywhr Congress hs won

He nvr claimed that Congress Himachal,Karnataka, Telangana win is Vote theft

SCARED congrassi now using A Thakur press to run away",,,theft,0.02
1957108563769196989,2025-08-17,15:53:37,"Bengaluru, India",Group of men assault couple with bat over spilt water stored in bucket https://t.co/VFkD8nyd26 #assault #attack #Bengaluru #CrimeNews #Crime #CrimeWatch @ByhalliPS @BlrCityPolice,,,assault,0.0
1957108236416364753,2025-08-17,15:52:19,,"@MeghUpdates @ShivamSanghi12 Anurag  thakur jst showed Pappu  mirror that if the criteria of Vote theft is this thn  same pattern exists evrywhr Congress hs won

He nvr claimed that Congress Himachal,Karnataka, Telangana win is Vote theft

SCARED congrassi now using A Thakur press to run away",,,theft,0.0
1957102603625546091,2025-08-17,15:29:56,,"@aajtak @ARPITAARYA @AbhishekJhaNITP @DhirendraSinha1 @ShivamSanghi12 @ShivamSanghi12 Anurag  thakur jst showed Pappu  the mirror that if the criteria of Vote theft is this thn  same pattern exists evrywhr Congress has won

He nevr claimed that Congress Himachal,Karnataka, Telangana win is Vote theft",,,theft,0.0
1957099819568099488,2025-08-17,15:18:52,,"@Arkazzzz @amitmalviya A thakur jst showed Pappu  the mirror that if the criteria of Vote theft is this thn  same pattern exists evrywhr Congress has won H

He nevr claimed that Congress Himachal,Karnataka, Telangana win is Vote theft",,,theft,0.0
